No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
40,accident,3.2000,0.2000,0.2667,0.1000,0.5667,0.0667,5.2333,0.1333,5.2333,0.0667,4.1000,3.3000,2.4667,3.9667,4.5667
385,accordion,1.5862,0.0690,1.6207,0.0345,0.6552,1.3793,0.2414,3.0345,0.6897,2.2759,0.1724,0.1724,0.2069,0.1379,0.9655
114,activist,3.2000,5.9667,2.3333,1.1000,1.6667,4.4333,1.8000,1.9000,1.2667,1.7333,0.7333,1.6333,0.9333,1.0333,1.6000
115,actor,2.1034,5.7586,1.9655,0.8966,1.0000,2.5862,0.7931,3.7241,0.6552,3.3793,1.9655,1.1034,0.7241,1.3793,2.3793
454,advantage,2.6000,1.3600,0.3600,1.6800,2.3600,5.2000,1.4000,3.2400,0.5600,3.4400,0.4800,1.0400,0.5600,0.5600,2.1200
494,advice,5.4000,2.0667,4.8000,1.9000,3.8000,5.0333,1.7333,3.0667,1.4000,2.6000,1.2667,1.1333,0.5667,1.0333,1.6333
1,aggressive,4.7333,3.0333,3.6000,0.8333,3.6333,0.3667,4.3333,0.4000,3.9667,0.1333,0.8667,5.3667,1.7333,2.2667,1.4333
77,agreement,5.4286,2.1071,3.9643,0.9643,3.6429,4.7143,1.3214,3.1786,0.3929,3.1786,0.4286,0.5357,0.2857,0.3214,0.8214
154,airport,2.8276,0.6897,1.3793,0.4138,0.2759,3.0690,1.3448,1.3448,1.6897,1.3448,0.7931,0.9655,0.3448,1.3448,0.6207
272,alligator,0.1000,1.2333,0.0667,0.0667,0.1333,0.3333,5.6667,0.4000,3.3000,0.0667,0.7000,0.6000,1.3000,4.8667,3.2667
438,ambulance,2.2903,0.4194,0.7097,0.0323,0.1613,5.0000,0.7742,0.6452,2.3871,0.4194,2.8387,0.4194,0.3226,2.3871,2.6129
455,analogy,2.7308,0.3077,4.8462,1.1154,5.2308,3.3846,0.5385,1.8462,0.7308,1.3462,0.6154,0.8462,0.5769,0.4231,1.8846
36,angry,4.9286,3.2143,4.0000,1.2857,4.8929,0.7857,4.3929,0.1429,5.4286,0.0357,2.5000,6.0000,2.9643,2.7857,1.5357
349,animosity,4.7407,1.2222,3.3333,0.7407,4.4815,0.5556,3.8148,0.3704,5.2593,0.1481,3.0370,4.5926,2.7407,2.8148,2.2963
273,ant,0.2258,1.5806,0.0000,0.0645,0.2581,0.6452,1.8710,0.3548,2.9355,0.2903,0.2258,1.1290,1.8387,1.1935,0.9677
405,apartment,0.9286,0.0000,0.2500,0.8571,0.1071,3.7857,0.4643,2.1786,0.3929,1.9286,0.1429,0.3214,0.1429,0.1071,0.1071
495,apology,5.6552,1.9310,5.3793,1.7931,3.6897,4.6552,0.7931,3.1379,1.3793,3.5862,1.8276,1.1034,0.5862,0.9655,2.4138
521,applause,3.6897,0.5862,3.9655,0.4828,1.0000,2.6552,0.1034,4.5517,0.1034,4.3793,0.0345,0.0345,0.0345,0.0690,1.8276
181,approached,4.1481,3.8889,2.4815,2.9259,1.1111,1.7037,1.4815,1.7407,0.6296,1.3333,0.3333,0.9630,0.1111,1.4074,1.9630
311,apricot,0.1333,0.0333,0.0333,0.2000,0.0333,1.9333,0.1667,3.6333,0.2000,2.2333,0.1000,0.0667,0.1000,0.1333,0.3000
295,arm,0.7000,0.8000,2.9667,2.8667,0.2667,3.3000,2.6333,1.8000,0.1000,1.0000,0.0000,0.0333,0.1667,0.0333,0.2000
53,army,5.3214,5.2143,2.0357,0.6786,1.8571,4.1429,5.3571,1.4286,2.3929,1.2857,2.1429,1.8214,1.3571,3.5357,1.7857
182,arrested,5.5333,3.9333,2.2000,0.1000,1.6667,1.3333,3.5667,0.6333,5.3667,0.2333,3.9000,3.9333,2.9333,3.9000,3.3333
116,artist,1.5000,5.6071,1.7500,1.5357,2.6071,3.1786,0.8214,3.9286,0.3214,3.2143,0.9643,0.8571,0.4643,0.6071,1.6071
312,asparagus,0.3103,0.0345,0.0690,0.2759,0.1034,2.4138,0.1379,2.3793,0.8621,1.4138,0.0000,0.0345,0.5517,0.1034,0.2414
183,ate,2.0000,2.7931,0.6552,5.1034,1.0345,3.8966,0.5517,4.6207,0.2759,4.0690,0.4138,0.1379,0.4483,0.1034,0.2069
456,attribute,0.7500,0.3000,1.0000,3.7000,3.0500,3.6000,1.3500,2.4000,1.2500,2.3500,0.5500,0.9000,0.4500,0.5500,1.2000
309,audience,4.8000,3.1000,2.1333,0.7000,1.0667,2.1333,0.7000,2.5667,0.6000,2.4333,0.2000,0.4667,0.1667,0.9667,1.3333
117,author,1.6429,5.7143,2.6429,1.2857,2.6429,3.8929,1.0357,3.3571,0.3571,3.4643,1.7143,0.8571,0.5000,0.8571,2.1786
265,avalanche,0.2581,0.0968,0.0000,0.0645,0.0323,0.2258,5.8710,0.0645,4.7097,0.0645,2.5161,1.3871,0.6129,4.7097,4.1290
350,awe,2.9286,0.3571,1.6429,0.9286,4.7857,2.4643,0.2143,4.1071,0.1429,4.5357,0.2857,0.2857,0.0714,0.8571,3.9643
420,axe,0.5667,0.1667,0.1667,0.1333,0.3000,2.9000,5.1000,0.6333,0.9667,0.4333,0.2333,0.5667,0.3667,2.1667,0.6000
386,bagpipe,1.3571,0.0000,1.6786,0.2143,1.3571,1.2857,0.3929,2.4643,1.7857,2.0357,1.1429,0.6429,0.4643,0.3571,1.1071
78,ball,2.8519,0.0741,0.3704,0.6667,0.7407,1.1481,2.0370,2.7037,0.1852,2.5926,0.2222,0.0741,0.2963,0.1481,0.3704
313,banana,0.1724,0.0000,0.0345,0.2069,0.1034,2.7586,0.3103,3.2069,0.3793,1.7241,0.0345,0.0000,0.1724,0.0000,0.0000
387,banjo,1.6667,0.0333,1.7333,0.2333,1.1667,1.6000,0.2333,3.5667,0.5000,2.8667,0.3667,0.3333,0.2000,0.0333,0.6000
118,banker,2.5556,5.2963,1.2963,0.8148,1.4444,3.6667,1.9259,1.4444,1.7037,1.1111,1.2593,1.4444,0.8519,0.7037,0.7407
406,bar,4.3571,0.1429,1.7857,0.8929,0.1786,1.7143,1.9286,3.0357,1.2857,2.7500,0.8214,0.5000,0.8214,0.3929,0.4643
243,barbecue,4.8966,0.3793,1.4138,0.6207,0.5517,2.4828,0.6207,4.9655,0.0345,4.5172,0.0345,0.0345,0.1034,0.0345,0.2414
79,baseball,3.7143,0.1786,0.7143,0.6429,1.0357,1.1071,2.5000,2.1071,0.5000,1.6071,0.0714,0.0357,0.0357,0.2500,0.3214
522,battle,5.3571,1.7143,1.2500,0.1786,1.2857,1.0357,5.6786,0.1429,4.6786,0.0714,3.7500,3.9286,3.0000,4.5000,2.1071
407,bay,0.6552,0.1724,0.0690,0.0690,0.1379,2.0000,1.3448,3.4828,0.0690,2.1379,0.1724,0.0345,0.1724,0.5517,0.5172
155,beach,2.0000,0.1379,0.3448,0.7241,0.1724,2.2069,1.3103,5.4483,0.0345,4.6897,0.0345,0.0000,0.1034,0.3793,0.3448
80,bed,1.4667,0.0667,0.2333,0.4667,0.3333,3.1667,0.3000,4.6333,0.2000,3.2667,0.0667,0.0333,0.0667,0.0667,0.0333
274,bee,0.4194,0.6774,0.0645,0.0968,0.0323,2.6129,3.9355,0.8387,3.1290,0.3226,0.4516,0.9032,0.7742,3.0645,2.5806
368,beer,2.4000,0.0000,0.7333,1.0333,0.3667,2.1000,3.1000,3.6333,1.5333,3.6000,0.9667,0.8333,1.4333,0.5000,0.6333
255,belch,0.6667,0.3667,1.1000,0.3667,0.5000,0.7667,0.6333,0.2333,4.1000,0.5333,0.3333,1.3000,4.4000,0.3333,2.9000
338,belief,2.0000,1.6207,2.1034,4.8276,5.6552,3.5517,2.4828,2.2759,1.2759,3.4138,1.7586,1.8621,1.5517,1.6897,1.5862
