Occurrences,Word,Length,LgSUBTLWF,Ortho_N,Phono_N,OLD,PLD,POS,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
1,abandon,7,2.617,0,0,2.9,2.45,VB|NN,695.719,0.97,623.963,1
1,abandonment,11,1.699,0,0,4.4,4.45,NN,771.088,1,794.696,0.958
1,abdomen,7,2.236,0,0,3,3,NN,813.433,0.88,758.667,0.964
1,abdominal,9,2.243,0,0,3.75,4,JJ,715.548,0.94,737.762,0.875
1,abduct,6,1.568,0,0,2.5,2.55,VB,769.667,0.88,707.815,1
1,abduction,9,2.269,0,0,2.7,2.65,NN,795.875,0.94,667.385,0.929
1,abide,5,2.143,3,3,1.7,1.85,VB,773.212,0.94,633.828,1
1,ability,7,2.992,1,1,2.3,2.3,NN,619.677,0.97,583.037,1
1,abject,6,1.322,1,0,2.35,2.75,JJ,692.667,0.28,768.385,0.929
1,ablaze,6,1.342,0,0,2.25,1.95,JJ,740.727,0.65,644.36,0.926
1,able,4,3.912,3,3,1.5,1.55,JJ,623.303,1,628.214,1
1,abnormal,8,2.173,0,0,3.1,3.35,JJ,684.909,1,673.385,1
1,abode,5,1.532,3,2,1.8,1.85,NN,855.833,0.88,665.958,0.889
1,abolish,7,1.398,0,0,2.8,2.8,VB,703.219,0.97,654.759,1
1,abomination,11,1.771,0,0, , ,NN, , , , 
1,abort,5,2.373,1,2,1.95,1.9,VB,672.484,0.97,583.704,1
1,abortion,8,2.568,0,1,2.55,2.55,NN,686.455,0.97,660.692,1
1,abrasive,8,1.38,0,0,2.9,2.7,JJ,710.594,0.94,635.538,0.963
1,abreast,7,1.431,0,4,2.7,1.75,RB,846.484,0.94,711,0.923
1,abrupt,6,1.771,0,0,2.7,2.55,JJ,690.971,1,584.889,1
1,abscess,7,1.415,0,3,2.7,2.05,NN,"1,033.50",0.58,801.45,0.833
1,absence,7,2.509,0,2,2.65,2.65,NN,687,0.97,666.148,1
1,absent,6,2.121,1,1,1.95,2.7,JJ,665.324,1,607.885,1
1,ABSINTHE,8,1.462,0,0, , ,NN, , , , 
1,absolve,7,1.477,0,0,2.8,2.95,VB,730.12,0.76,653.296,1
1,absorb,6,2.009,0,0,2.55,2.5,VB,633.781,0.97,640.72,0.926
1,abstain,7,1.431,0,0,2.75,2.6,VB,729.5,0.88,717.423,0.963
1,absurdity,9,1.518,0,0,3.75,3.6,NN,860.469,0.94,704.308,0.897
1,abundance,9,1.663,0,1,3.55,3.1,NN,698.727,0.97,629.821,1
1,abundant,8,1.477,0,1,3.35,2.75,JJ,660.75,0.97,618.926,0.964
1,abuse,5,2.719,2,2,1.8,1.85,VB,608.688,0.97,581.2,1
1,abusive,7,1.924,0,0,2.8,2.7,JJ,799.242,0.97,664.037,1
1,abyss,5,1.959,0,3,2.45,1.9,NN,651.44,0.76,653.036,1
1,accelerate,10,1.819,0,0,3.25,3.75,VB,710.853,0.97,727.259,0.964
1,accelerated,11,1.699,1,0,3.35,3.65,VB,741.562,0.94,720.778,0.964
1,acceleration,12,1.653,0,0,3.2,3.65,NN,712.156,0.91,749.815,1
1,accelerator,11,1.845,0,0,3.7,4.1,NN,838.229,1,747.107,1
1,accent,6,2.794,2,0,1.85,2.2,NN,674.97,1,691.786,1
1,accept,6,3.43,1,1,2.35,2.3,VB,556.394,0.97,628.077,1
1,acceptance,10,2.209,0,0,3.8,3.6,NN,660.75,0.97,720.308,1
1,access,6,3.208,0,3,2,1.85,NN|VB,677.788,0.97,627.536,1
1,accessible,10,1.756,0,0,3.75,3.4,JJ,709.219,1,689.75,1
1,accessory,9,2.17,1,0,3.25,3.4,NN,687.364,0.97,796.185,1
1,accident,8,3.618,1,1,2.7,3.5,NN,621.781,0.97,610.481,1
1,acclaim,7,1.362,0,1,2.85,1.95,NN|VB,828.188,0.94,702.889,1
1,accommodate,11,2.041,0,0,4.1,3.45,VB,726.147,1,683.333,1
1,accommodation,13,1.69,0,0,4.05,3.4,NN,864.829,0.97,721.786,1
1,accompany,9,2.386,0,0,3.7,3.05,VB,725.844,0.91,664.964,1
1,accomplice,10,2.337,0,1,3.65,3.35,NN,784.333,0.97,737.32,0.926
1,accomplish,10,2.476,0,1,3.75,3.4,VB,773.121,0.97,616.808,1
1,accomplishment,14,1.987,0,0,4.7,4.1,NN,803.062,0.97,662.857,1
1,accord,6,1.924,0,5,2.45,1.6,NN|VB,683.71,0.97,602,1
1,accordion,9,1.833,0,0,3.6,2.95,NN,930.2,0.76,766.148,1
1,account,7,3.358,0,1,2.6,2.1,NN|VB,619.382,1,605.893,0.966
1,accountant,10,2.5,0,0,3.6,3.5,NN,817.188,0.94,677.115,1
1,accounting,10,2.364,0,2,2.7,2.05,NN|VB,632.088,1,681.731,1
1,accumulate,10,1.477,0,0,3.45,3.9,VB,734.088,1,763.786,1
