"Occurrences","Word","LgSUBTLWF","OLD","PLD","I_Mean_RT","I_Zscore","I_Mean_Accuracy"
"1","abandon","2.617","2.900","2.450","695.719","-0.312","0.97"
"1","abandonment","1.699","4.400","4.450","771.088","-0.002","1.00"
"1","abdomen","2.236","3.000","3.000","813.433","0.034","0.88"
"1","abdominal","2.243","3.750","4.000","715.548","-0.130","0.94"
"1","abduct","1.568","2.500","2.550","769.667","0.031","0.88"
"1","abduction","2.269","2.700","2.650","795.875","0.006","0.94"
"1","abide","2.143","1.700","1.850","773.212","-0.175","0.94"
"1","ability","2.992","2.300","2.300","619.677","-0.481","0.97"
"1","abject","1.322","2.350","2.750","692.667","0.069","0.28"
"1","ablaze","1.342","2.250","1.950","740.727","0.145","0.65"
"1","able","3.912","1.500","1.550","623.303","-0.497","1.00"
"1","abnormal","2.173","3.100","3.350","684.909","-0.185","1.00"
"1","abode","1.532","1.800","1.850","855.833","0.269","0.88"
"1","abolish","1.398","2.800","2.800","703.219","-0.260","0.97"
"1","abomination","1.771","#","#","#","#","#"
"1","abort","2.373","1.950","1.900","672.484","-0.409","0.97"
"1","abortion","2.568","2.550","2.550","686.455","-0.324","0.97"
"1","abrasive","1.380","2.900","2.700","710.594","-0.254","0.94"
"1","abreast","1.431","2.700","1.750","846.484","0.406","0.94"
"1","abrupt","1.771","2.700","2.550","690.971","-0.186","1.00"
"1","abscess","1.415","2.700","2.050","1,033.500","1.021","0.58"
"1","absence","2.509","2.650","2.650","687.000","-0.396","0.97"
"1","absent","2.121","1.950","2.700","665.324","-0.414","1.00"
"1","ABSINTHE","1.462","#","#","#","#","#"
"1","absolve","1.477","2.800","2.950","730.120","-0.187","0.76"
"1","absorb","2.009","2.550","2.500","633.781","-0.537","0.97"
"1","abstain","1.431","2.750","2.600","729.500","-0.056","0.88"
"1","absurdity","1.518","3.750","3.600","860.469","0.223","0.94"
"1","abundance","1.663","3.550","3.100","698.727","-0.269","0.97"
"1","abundant","1.477","3.350","2.750","660.750","-0.344","0.97"
"1","abuse","2.719","1.800","1.850","608.688","-0.703","0.97"
"1","abusive","1.924","2.800","2.700","799.242","-0.112","0.97"
"1","abyss","1.959","2.450","1.900","651.440","-0.340","0.76"
"1","accelerate","1.819","3.250","3.750","710.853","-0.206","0.97"
"1","accelerated","1.699","3.350","3.650","741.562","-0.129","0.94"
"1","acceleration","1.653","3.200","3.650","712.156","-0.249","0.91"
"1","accelerator","1.845","3.700","4.100","838.229","-0.073","1.00"
"1","accent","2.794","1.850","2.200","674.970","-0.492","1.00"
"1","accept","3.430","2.350","2.300","556.394","-0.860","0.97"
"1","acceptance","2.209","3.800","3.600","660.750","-0.332","0.97"
"1","access","3.208","2.000","1.850","677.788","-0.474","0.97"
"1","accessible","1.756","3.750","3.400","709.219","-0.385","1.00"
"1","accessory","2.170","3.250","3.400","687.364","-0.327","0.97"
"1","accident","3.618","2.700","3.500","621.781","-0.610","0.97"
"1","acclaim","1.362","2.850","1.950","828.188","-0.054","0.94"
"1","accommodate","2.041","4.100","3.450","726.147","-0.152","1.00"
"1","accommodation","1.690","4.050","3.400","864.829","0.068","0.97"
"1","accompany","2.386","3.700","3.050","725.844","-0.220","0.91"
"1","accomplice","2.337","3.650","3.350","784.333","-0.060","0.97"
"1","accomplish","2.476","3.750","3.400","773.121","-0.227","0.97"
"1","accomplishment","1.987","4.700","4.100","803.062","0.039","0.97"
"1","accord","1.924","2.450","1.600","683.710","-0.378","0.97"
"1","accordion","1.833","3.600","2.950","930.200","0.400","0.76"
"1","account","3.358","2.600","2.100","619.382","-0.679","1.00"
"1","accountant","2.500","3.600","3.500","817.188","0.053","0.94"
"1","accounting","2.364","2.700","2.050","632.088","-0.430","1.00"
"1","accumulate","1.477","3.450","3.900","734.088","-0.242","1.00"
"1","accuracy","1.887","3.600","3.500","615.970","-0.614","1.00"
"1","accurate","2.603","2.750","2.750","728.242","-0.221","1.00"
"1","accursed","1.532","#","#","#","#","#"
"1","accuse","2.464","2.250","1.700","626.364","-0.522","1.00"
"1","acetylene","1.380","4.500","3.750","1,084.000","0.802","0.52"
"1","ache","2.107","1.650","1.000","631.655","-0.496","0.91"
"1","achieve","2.574","2.650","2.300","702.818","-0.491","0.97"
"1","acknowledge","2.497","4.350","3.400","771.375","-0.151","0.97"
"1","acknowledgement","1.342","6.050","4.500","735.759","0.100","0.88"
"1","acorn","1.580","1.800","1.850","721.963","-0.237","0.79"
"1","acoustic","1.699","3.100","2.700","793.438","0.189","0.97"
"1","acoustics","1.362","3.500","3.250","789.033","-0.021","0.91"
"1","acquaintance","2.438","5.300","3.850","807.452","0.080","1.00"
"1","acquire","2.134","2.550","1.800","673.939","-0.302","0.94"
"1","acquisition","1.875","3.550","3.000","785.594","-0.005","0.94"
"1","acquit","1.398","2.750","1.950","832.440","0.279","0.86"
"1","acquittal","1.580","3.850","2.700","905.538","0.395","0.81"
"1","act","3.745","1.500","1.000","635.182","-0.560","1.00"
"1","action","3.494","1.850","1.800","564.125","-0.801","1.00"
"1","activate","2.378","2.600","2.750","657.353","-0.452","0.97"
"1","activation","1.643","2.800","2.800","806.543","0.194","1.00"
"1","active","2.767","2.100","2.100","632.743","-0.595","1.00"
"1","activist","1.708","3.200","3.650","697.688","-0.244","1.00"
"1","activity","2.818","2.550","3.000","714.839","-0.372","1.00"
"1","actuality","1.398","2.950","4.150","829.000","0.046","1.00"
"1","acupuncture","1.580","4.750","6.450","853.200","0.316","0.91"
"1","adage","1.518","2.000","1.950","769.846","0.383","0.41"
"1","adamant","1.708","2.950","2.500","823.000","0.198","0.66"
"1","adapt","2.130","1.950","1.900","660.364","-0.556","1.00"
"1","adaptation","1.914","3.200","3.550","804.500","0.089","0.94"
"1","add","3.227","1.600","1.000","657.545","-0.576","1.00"
"1","addict","2.438","2.450","1.900","600.903","-0.700","0.97"
"1","addiction","2.301","2.700","2.200","628.286","-0.457","0.97"
"1","addictive","1.763","#","#","#","#","#"
"1","additional","2.479","3.400","2.650","678.939","-0.297","0.97"
"1","adequate","2.124","3.150","2.900","674.688","-0.276","0.97"
"1","adhere","1.477","2.000","2.000","720.667","-0.212","0.94"
"1","adhesive","1.681","3.200","3.150","787.212","-0.058","0.97"
"1","adjacent","1.839","3.550","3.700","748.121","-0.086","1.00"
"1","adjective","1.415","2.900","3.700","671.355","-0.414","0.94"
"1","adjoining","1.763","2.850","2.600","809.742","0.196","0.91"
"1","adjourn","1.826","2.850","2.500","733.667","-0.103","0.94"
"1","adjust","2.459","2.450","2.350","656.000","-0.532","0.91"
"1","adjuster","1.322","#","#","#","#","#"
"1","adjustment","2.201","3.400","3.550","652.414","-0.350","0.91"
"1","administer","1.935","3.450","3.750","832.742","0.005","0.97"
"1","administration","2.589","4.300","4.900","954.273","0.285","1.00"
"1","administrator","1.929","4.750","4.700","883.529","0.278","1.00"
"1","admiral","2.927","2.500","2.750","705.938","-0.368","0.97"
"1","admire","2.859","1.850","2.200","621.029","-0.615","1.00"
"1","admirer","2.182","2.450","2.600","891.613","-0.009","0.94"
"1","admissible","1.580","3.550","3.250","895.966","0.201","0.88"
"1","admission","2.260","2.850","2.050","694.706","-0.328","0.97"
"1","admit","3.480","2.000","2.000","574.647","-0.616","1.00"
"1","admittance","1.544","3.750","3.150","743.273","-0.044","0.97"
"1","adobe","1.398","1.950","2.900","770.233","0.068","0.94"
"1","adolescence","1.653","4.150","4.000","695.062","-0.398","0.97"
"1","adolescent","1.978","3.550","4.050","780.129","0.083","0.97"
"1","adopt","2.378","1.850","1.850","614.412","-0.593","1.00"
"1","adoption","2.380","2.750","2.800","687.848","-0.401","1.00"
"1","adoptive","1.491","#","#","#","#","#"
"1","adorable","2.731","2.850","2.900","787.061","-0.040","0.97"
"1","adoration","1.491","2.550","2.550","801.200","0.027","0.91"
"1","adore","2.597","1.800","1.750","737.545","-0.359","0.97"
"1","adrenalin","1.462","3.900","4.100","858.960","0.448","0.76"
"1","adrift","1.716","2.450","2.450","835.321","0.099","0.82"
"1","adulterer","1.322","3.350","4.000","969.720","0.513","0.76"
"1","adultery","2.000","2.950","3.550","586.697","-0.549","0.97"
"1","adulthood","1.580","4.350","4.750","639.697","-0.394","1.00"
"1","advance","2.912","2.600","2.550","626.656","-0.617","1.00"
"1","advancement","1.806","3.750","3.500","633.771","-0.483","1.00"
"1","advantage","3.051","3.500","3.650","662.938","-0.466","0.94"
"1","adventure","2.836","2.850","3.150","631.226","-0.465","0.94"
"1","adventurer","1.580","#","#","#","#","#"
"1","adventurous","1.799","3.950","3.850","916.207","0.358","0.91"
"1","adversary","1.892","3.600","4.150","790.032","-0.101","0.97"
"1","adverse","1.568","2.300","2.400","642.941","-0.335","0.97"
"1","adversity","1.740","3.000","3.650","752.375","-0.057","1.00"
"1","advertise","1.929","2.650","3.550","667.424","-0.371","1.00"
"1","advertisement","1.792","4.500","5.850","798.939","0.053","1.00"
"1","advertising","2.580","3.600","3.700","850.212","0.098","0.97"
"1","advice","3.389","2.300","2.400","599.588","-0.671","1.00"
"1","advisable","1.613","2.850","3.100","850.200","0.210","0.88"
"1","advise","2.795","2.200","1.950","726.862","-0.369","0.94"
"1","advisement","1.602","3.750","3.500","832.741","0.069","0.93"
"1","adviser","1.732","2.300","2.400","666.200","-0.386","0.88"
"1","advisor","2.354","2.450","2.400","635.647","-0.450","1.00"
"1","advisory","1.716","2.900","3.300","647.259","-0.319","0.93"
"1","advocate","2.057","2.750","2.700","621.812","-0.404","0.97"
"1","aerial","2.114","1.900","1.700","828.333","0.094","0.84"
"1","aerodynamic","1.362","5.000","5.750","1,020.769","0.877","0.79"
"1","aerospace","1.748","3.850","3.600","883.600","0.370","0.94"
"1","aesthetic","1.544","2.750","2.700","898.812","0.385","0.94"
"1","affair","3.177","2.550","1.750","636.606","-0.548","1.00"
"1","affect","2.755","2.450","1.900","663.258","-0.403","0.97"
"1","affection","2.635","2.650","1.950","695.900","-0.316","0.88"
"1","affidavit","2.004","4.700","4.600","925.938","0.703","0.50"
"1","affirmation","1.447","2.950","2.600","759.406","-0.130","0.97"
"1","affliction","1.785","2.950","2.600","731.625","-0.200","1.00"
"1","afford","3.356","2.500","1.700","694.576","-0.238","1.00"
"1","affront","1.491","2.800","2.600","756.444","0.182","0.55"
"1","afloat","1.935","2.550","1.950","883.920","0.176","0.78"
"1","afraid","4.101","2.600","1.950","599.594","-0.587","1.00"
"1","afterlife","1.914","3.900","4.450","784.909","0.010","0.97"
"1","aftermath","1.732","3.650","4.000","664.667","-0.333","0.97"
"1","afternoon","3.669","3.750","4.350","658.034","-0.424","0.94"
"1","aftershave","1.748","4.450","4.250","766.375","0.087","0.97"
"1","age","3.606","1.100","1.400","530.912","-0.898","1.00"
"1","agency","2.997","2.600","2.700","641.968","-0.582","0.94"
"1","agenda","2.573","2.600","2.800","739.030","-0.253","0.97"
"1","aggravate","1.580","3.550","2.750","821.080","0.000","0.86"
"1","aggression","2.158","3.000","2.400","711.000","-0.281","1.00"
"1","aggressive","2.608","3.300","2.550","675.206","-0.369","1.00"
"1","aggressiveness","1.322","5.100","4.050","812.750","0.032","1.00"
"1","aggressor","1.477","3.750","2.600","732.839","-0.138","0.94"
"1","agility","1.380","2.600","2.900","765.038","0.037","0.79"
"1","aging","2.121","1.800","1.750","668.121","-0.455","0.97"
"1","agitate","1.362","2.600","2.650","746.067","-0.123","0.91"
"1","agitation","1.415","2.550","2.650","934.500","0.415","0.88"
"1","aglow","1.398","1.900","1.900","709.000","-0.043","0.48"
"1","agony","2.283","2.000","1.950","657.879","-0.411","0.97"
"1","agree","3.518","1.900","1.850","589.844","-0.711","0.94"
"1","agreeable","1.914","3.600","2.850","767.118","-0.198","1.00"
"1","agreement","2.951","3.400","2.900","668.300","-0.429","0.91"
"1","agricultural","1.690","4.600","5.450","970.207","0.516","0.91"
"1","agriculture","1.756","4.200","5.150","784.265","0.038","1.00"
"1","ahoy","2.279","2.000","1.950","931.500","0.351","0.63"
"1","aid","2.851","1.000","1.000","580.121","-0.717","0.97"
"1","aids","1.740","1.350","1.500","616.909","-0.673","0.97"
