Word,Emotion,Polarity,Social,Moral,Thought
ability,4.52,4.85,4.24,4.65,5.19
abundance,3.66,4.03,3.3,3.29,3.53
accident,3.09,3.6,2.62,2.62,3.15
accomplishment,5.41,5.52,3.97,4.74,4.72
accumulation,2.9,3.33,3.3,2.84,3.53
acquisition,2.9,3.64,3.76,2.94,3.28
acre,1.69,2.14,1.63,2.05,1.75
addition,2.59,3.33,2.79,2.13,3.88
admiration,4.97,4.76,5.03,4.16,4.91
advantage,3.59,3.61,3.73,3.45,3.72
adventurer,2.68,4.56,3.86,2.58,4.6
adversity,4,3.5,3.5,4.57,4.33
advice,3.27,5.2,5.31,3.54,5.71
affection,5.82,6.6,4.77,4.46,5.93
alley,1.45,2.7,2,1.77,1.79
alligator,1.93,3.12,1.55,1.58,1.5
ally,2.36,4.4,4.23,3.23,2.5
alphabet,1.91,3.6,2,2.39,3.57
ambition,5.41,4.76,4,4.48,4.84
ambulance,2.93,3.97,2.39,2.03,1.94
amount,1.54,3.1,1.69,2.15,2.79
amplitude,2.38,2.94,2.15,1.97,3.38
anger,5.91,4.5,4.3,3.85,5
animal,2.63,3.9,2.08,3.46,3.07
ankle,2.24,2.82,2.12,1.71,1.78
announcement,3.07,3.48,4.03,2.45,3.25
annoyance,5.55,4.3,3.39,3.53,4.86
anxiety,5.63,4.2,2.62,3.85,5.64
apology,3.71,4.14,4.37,4.17,5.25
appeal,4.75,4.1,3.87,3,4.88
apple,2.28,3.48,1.67,1.71,1.63
appointment,2.62,3.18,3.36,2.55,3.09
arc,2,2.7,1.77,2.23,2.5
arrangement,2.69,3.42,3.76,3.1,3.94
arrow,2.28,2.76,1.76,1.84,1.69
art,3.37,4.2,3.39,3.3,4.79
article,2,2.7,1.94,2.34,4.63
artist,3.52,4.21,4.12,2.35,4.16
aspect,2.9,3,2.61,3.58,4.16
assault,4,3.4,3.85,3.62,2.86
assistance,3.79,4.09,5.12,3.87,3.88
assumption,4.21,3.3,3.39,3.52,5.09
atom,2,3.4,1.92,3.38,2.36
atrocity,3.73,3.5,3.08,3.53,2.86
attempt,4.11,4,2.56,4,4.5
attention,4.55,4.7,4.58,3.84,5.53
attitude,4.76,4.18,4.06,4.87,5.97
autumn,1.4,4,1.67,3.29,1.83
availability,3.52,3.85,3.94,3.19,4
awareness,4.72,4.85,4.15,4.97,6.06
baby,4.52,4.33,5.12,2.32,2.53
bag,2.11,2.5,1.56,1.6,2.5
