StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Q_RecaptchaScore,Participant_ID,Timing_info_sheet_First Click,Timing_info_sheet_Last Click,Timing_info_sheet_Page Submit,Timing_info_sheet_Click Count,Consent,Results_summary,D_Q1,D_Q2,D_Q3,D_Q4,Timing_instruct_First Click,Timing_instruct_Last Click,Timing_instruct_Page Submit,Timing_instruct_Click Count,I_Q1,I_Q2,I_Q3,1_R_Q1,1_R_Q2,2_R_Q1,2_R_Q2,3_R_Q1,3_R_Q2,4_R_Q1,4_R_Q2,5_R_Q1,5_R_Q2,6_R_Q1,6_R_Q2,7_R_Q1,7_R_Q2,8_R_Q1,8_R_Q2,9_R_Q1,9_R_Q2,10_R_Q1,10_R_Q2,11_R_Q1,11_R_Q2,12_R_Q1,12_R_Q2,13_R_Q1,13_R_Q2,14_R_Q1,14_R_Q2,15_R_Q1,15_R_Q2,16_R_Q1,16_R_Q2,17_R_Q1,17_R_Q2,18_R_Q1,18_R_Q2,19_R_Q1,19_R_Q2,20_R_Q1,20_R_Q2,21_R_Q1,21_R_Q2,22_R_Q1,22_R_Q2,23_R_Q1,23_R_Q2,24_R_Q1,24_R_Q2,25_R_Q1,25_R_Q2,26_R_Q1,26_R_Q2,27_R_Q1,27_R_Q2,28_R_Q1,28_R_Q2,29_R_Q1,29_R_Q2,30_R_Q1,30_R_Q2,31_R_Q1,31_R_Q2,32_R_Q1,32_R_Q2,33_R_Q1,33_R_Q2,34_R_Q1,34_R_Q2,35_R_Q1,35_R_Q2,36_R_Q1,36_R_Q2,37_R_Q1,37_R_Q2,38_R_Q1,38_R_Q2,39_R_Q1,39_R_Q2,40_R_Q1,40_R_Q2,41_R_Q1,41_R_Q2,42_R_Q1,42_R_Q2,43_R_Q1,43_R_Q2,44_R_Q1,44_R_Q2,45_R_Q1,45_R_Q2,46_R_Q1,46_R_Q2,47_R_Q1,47_R_Q2,48_R_Q1,48_R_Q2,49_R_Q1,49_R_Q2,50_R_Q1,50_R_Q2,51_R_Q1,51_R_Q2,52_R_Q1,52_R_Q2,53_R_Q1,53_R_Q2,54_R_Q1,54_R_Q2,55_R_Q1,55_R_Q2,56_R_Q1,56_R_Q2,57_R_Q1,57_R_Q2,58_R_Q1,58_R_Q2,59_R_Q1,59_R_Q2,60_R_Q1,60_R_Q2,P_Q1
10/02/2021 10:19,10/02/2021 10:38,100,1125,TRUE,10/02/2021 10:38,R_2w4DZ6KFRxwmccu,EN,0.9,1,304.358,312.993,318.68,7,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,20,F,No,Advanced,0,0,177.083,0,Extremely well,No,,5,-99,1,-99,1,-99,-123,-99,2,-99,1,-99,2,-99,1,-99,7,-99,7,Triggered by humans,1,Food,1,-99,1,-99,4,-99,1,-99,5,-99,7,Quality of people,1,-99,5,-99,7,-99,3,-99,7,-99,7,-99,5,-99,6,-99,7,-99,7,-99,5,-99,4,-99,1,-99,6,Played by people,4,-99,2,-99,7,-99,6,-99,6,Quality of people,4,-99,5,-99,7,-99,7,-99,6,-99,5,-99,7,-99,7,Social interaction,7,-99,7,-99,7,Result of social interaction,3,-99,7,-99,7,-99,7,-99,7,Constitutes a group of people,7,-99,7,It is a place where people meet to socialize,7,-99,7,-99,7,-99,6,-99,7,-99,7,-99,We had to rate the 'socialness' of words on a scale from 1 to 7.
10/02/2021 15:06,10/02/2021 15:25,100,1155,TRUE,10/02/2021 15:25,R_21mR6k4DQDirPYR,EN,1,8,6.074,11.939,17.966,7,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,20,M,No,Proficient,132.107,132.107,139.825,1,Very well,No,,1,Does not really have any social value,1,-99,1,-99,4,-99,1,Does not refer to a social setting ,1,Does not involve anyone else ,5,-99,1,Does not invlove another human being or a group of human beings ,1,-99,5,-99,2,-99,1,-99,5,-99,1,-99,6,"1 person made it, 1 person used it and 1 person disposed of it",1,"Wishes are personal, you do not need to have anyone else to have a wish as you do not need to tell anyone else about your wish ",4,-99,1,-99,1,"Fate is personal, as each person has their own unique life",1,-99,1,-99,6,-99,1,-99,2,-99,7,Requires multiple people,4,-99,2,-99,7,-99,7,Involves wathing multiple things usually people having a social interaction of some kind,6,-99,7,-99,3,"Could be social, but preferably it is done alone without another being ",6,"While not typically used for humans, this word involves at least 2 beings so I think it is social",7,In order to compare equality you need a reference point (another being),6,-99,7,-99,1,Intention is personal unless expleicitly said aloud,1,-99,7,-99,7,-99,6,"Could refer to another person, which makes it a social interaction",5,"Because you can use it in a social setting, when in a group someone may be annoying.",7,-99,7,"Because you can do it in a social setting, joking is quite frequent ",7,-99,7,-99,7,In order for a rumour to spread you need a group of people to spread it ,7,-99,7,-99,7,-99,5,-99,7,-99,6,-99,7,Involves a lot of people partying ,7,-99,1,-99,7,-99,6,-99,7,"While this word has a negative connotation, it requires 2 people",7,-99,"Socialness refers to whether the meaing of the words involves a social setting, it could be two people (friendship), a group of people (football team), a notion involving many people (democracy) etc. We had to rate each word presented on a score from 1 to 7 as to how social it was (1 being the lowest socialability and 7 being the highest socialability). For some words we had to describe the rationale behind our choice."
10/02/2021 15:50,10/02/2021 16:15,100,1532,TRUE,10/02/2021 16:15,R_BCXVpZalasTcPFD,EN,1,5,1.964,138.645,140.976,8,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,20,M,No,Proficient,121.129,122.042,123.799,2,Very well,No,,7,-99,3,-99,7,-99,4,-99,7,-99,5,-99,6,-99,7,I chose a high rating because the word refers to an action.,5,-99,6,-99,4,-99,7,-99,7,I chose a high rating because the word refers to an object.,6,-99,5,-99,7,-99,6,-99,3,-99,6,-99,7,-99,5,-99,6,-99,7,-99,4,-99,5,-99,7,-99,7,-99,5,-99,7,-99,7,I chose a high rating because the word refers to a specific location.,7,-99,7,-99,4,-99,5,-99,5,-99,4,-99,5,-99,7,-99,5,-99,7,-99,7,-99,7,-99,5,-99,7,-99,5,-99,5,-99,7,-99,7,-99,7,-99,7,-99,4,-99,7,-99,7,-99,5,-99,5,-99,5,-99,7,-99,7,-99,7,-99,7,-99,-99
10/02/2021 17:34,10/02/2021 18:11,100,2226,TRUE,10/02/2021 18:11,R_3hiFhjeLpEhAL9O,EN,1,10,81.085,91.098,94.592,7,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,41,F,No,Proficient,0,0,181.814,0,Moderately well,Yes,"too much information to be remembered.
a few practice trials would be helpful.",5,because it is linked to people and their beliefs ,2,-99,2,-99,4,-99,2,is too broad to be linked to something social,2,-99,4,not sure,6,"it's an action, linked to human agency. ",7,-99,2,-99,2,"it's primarily something to eat, but it can be used metaphorically as well
",2,-99,6,-99,3,because it's a cause of some environmental conditions,4,-99,7,-99,7,refers to a social quality,1,-99,3,-99,-99,-99,5,-99,3,-99,7,-99,7,-99,5,-99,7,it's a human feeling,7,it is linked to a social condition/status,7,a place where people are interacting ,7,-99,7,-99,6,-99,7,-99,3,"it is primarily linked to another species, something different than human organisms, although it can be interpreted metaphorically as social too....multiple meanings, a bit confusing",6,-99,6,-99,7,-99,6,-99,7,-99,7,-99,-99,it has a social connotation,7,-99,7,-99,7,social quality,7,-99,7,-99,7,-99,7,because it has a link to human interactions,6,-99,7,relates to social conflicts,7,-99,-99,an action that has social links,7,by definition a social group ,7,because it is a social form of cheering,7,it is linked to social entertainment,7,-99,7,-99,7,is a social role,7,-99,7,-99,7,-99,"'socialness' it's very difficult to define. I would probably need some time to think about this. 
I'm not sure whether you would expect me to say the first thing that pops into my mind or whether you would like me to think a bit.
It is something that it's linked to human communities, interactions, organisations."
11/02/2021 11:14,11/02/2021 11:59,100,2674,TRUE,11/02/2021 11:59,R_PYRR7tnvfz558KB,EN,1,13,17.153,21.265,24.567,7,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,36,F,No,Proficient,0,0,166.705,0,Very well,No,,5,-99,4,"Because it refers to something that can relate to both, social and non social entities. ",1,Can relate to both social and non social situations. ,7,-99,4,-99,1,-99,7,-99,2,-99,5,-99,2,-99,4,-99,1,-99,1,-99,3,"Because it affects people and their health, but it does not directly relate to social situations. It can, however affect social interactions. E.g. someone with a frostbite will probably be likely to talk about what happened to them and what are the consequences. ",5,"Refers to something usually produced by people and something that is a problem within the society, but in itself it does not have a social connotation. ",6,-99,6,-99,3,Can relate to anything. Socialness would depend on the context. ,5,-99,5,Refers to a human emotion but can be elicited by non social events or situations. ,7,-99,7,-99,7,-99,4,-99,3,-99,7,-99,7,-99,5,-99,5,-99,4,It evokes being in social situations and interacting with one another. ,6,-99,6,-99,6,"Again, depends on the context. By itself it is non social, but it evokes something that has impact on the social world in general. It is also highly evocative regarding the current situation with covid, when a virus by itself is not social, but look at the impact it had on the social world. ",5,-99,7,-99,7,-99,4,-99,5,"Because it refers to a human feeling, but can be elicited by non social events. ",7,-99,7,-99,7,Because it refers to a characteristic that will highly impact on the nature and quality of social interactions and it also becomes apparent via social interactions. ,4,-99,7,-99,7,-99,7,Because it refers to an act that is considered as the main cell of the social world. ,7,Evokes something in place that creates social rules and highly impacts on how the social world functions. ,7,Refers to information that can be only transmitted via human communication. ,7,-99,7,-99,7,-99,7,-99,7,-99,7,-99,6,"The meaning evokes a place where people gather and socialize, but again in itself it can only be an empty building. ",5,-99,7,-99,6,-99,6,-99,7,-99,5,"Refers to an establishment which has a place and function in the society, but it can also refer to a building only which is not social in its alone standing nature. ",The instruction was to rate the socialness of the word on a scale from 1 to 7 with. Socialness means extent to which the word refers to the social world or to situations experienced within this ''space'' which is unique to humans and involves their presence and interaction.
11/02/2021 14:54,11/02/2021 15:03,100,515,TRUE,11/02/2021 15:03,R_1pYjwVOYVXaaH4p,EN,0.9,15,6.641,17.72,19.425,8,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,19,F,Yes,,7.753,7.753,36.242,1,Very well,No,,2,-99,4,-99,4,-99,6,-99,3,-99,1,I don't make any social connection to this word,2,-99,1,no connection,5,-99,1,-99,3,-99,1,-99,1,-99,1,-99,3,-99,2,-99,6,-99,1,no connections,1,-99,4,"more descriptive than social, would be higher if it was sad",6,A way in which oneself could describe self to someone else,7,-99,2,-99,2,-99,1,-99,2,-99,1,-99,1,-99,1,-99,1,-99,1,-99,2,-99,1,-99,2,-99,1,-99,3,-99,2,-99,2,-99,2,-99,3,-99,6,A common social way to describe someones behaviour,4,It can be used to describe someone however annoying is more social than annoy,7,Common way to describe someone to someone else during social interaction,2,-99,1,-99,1,-99,1,has social connection but not very social,2,-99,5,-99,1,-99,-123,-99,3,-99,1,-99,1,-99,1,-99,2,-99,4,-99,1,-99,1,-99,2,the word has social associations however not common,the relationship between the word and it's link to society
12/02/2021 15:30,12/02/2021 15:50,100,1180,TRUE,12/02/2021 15:50,R_337FFvyUO3s0veR,EN,1,7,15.308,24.986,30.479,8,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,31,F,Yes,,0,0,101.519,0,Moderately well,No,,2,Luck is not a social construct,1,-99,1,-99,1,-99,1,I can't make a connection to how this word is social ,1,-99,5,The meaning of this word varies according to social context ,1,-99,1,-99,2,-99,1,-99,1,-99,1,-99,1,-99,1,-99,1,-99,3,-99,1,This word doesn't seem like a social word to me ,2,-99,1,This is an emotion,1,-99,4,-99,2,-99,6,-99,1,-99,3,-99,7,-99,5,-99,3,-99,2,-99,6,-99,1,-99,1,If this word refers to an organism then it is unrelated ,6,-99,5,-99,1,-99,1,I do not see the connection as to how this word is social ,2,-99,4,-99,4,-99,4,This word is a social consequence,2,-99,6,It is a social characteristic,5,-99,6,-99,4,-99,6,This word is a social consequence,1,-99,5,It is a type of social relationship,7,-99,4,-99,6,This word is part of a social group,5,It is a social cue ,7,This is a place you go to socialize ,5,-99,2,-99,5,It is a social status,2,-99,2,-99,3,-99,"A word is social if it relates to any aspect of ""socialism"" - in relation to people and society"
15/02/2021 11:45,15/02/2021 12:16,100,1834,TRUE,15/02/2021 12:16,R_1pJz0FNMg8PEBwk,EN,1,14,139.868,154.55,158.162,7,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,21,F,No,Proficient,7.866,185.505,238.435,24,Extremely well,No,,3,-99,4,-99,1,It doesn't require interacting with others.,5,-99,1,-99,4,"Could encourage social interactions
",7,-99,1,-99,1,-99,5,-99,1,Refers to an object not necessarily found in social encounters,1,-99,1,-99,1,It is not dependent on interactions and could occur outside social environments.,1,-99,1,Mostly a request kept for oneself; a thought,1,-99,1,-99,5,-99,1,-99,1,-99,7,"Is described in relation to other people, by other people. One can be genuine in rapport to knowing what a dishonest person is like",5,"Could be personal, but is dependent on others' recognition or access to resources offered by others",7,-99,7,-99,5,-99,7,-99,4,-99,5,-99,7,"A place used by lots of people, which allows access to further social interaction (i.e., permits travel)",6,-99,5,"a gunshot might involve an interaction between people (i.e., a gun fight)",1,-99,7,-99,4,It serves a role in the society and is used in interactions. There is a need for people to act as agents to ensure its implementation. ,7,-99,6,Can be socially motivated,4,-99,7,-99,7,Occurs between people and could rely on dismissing others' values,7,-99,7,The actions of a person on another,7,-99,7,-99,7,-99,7,-99,6,-99,4,-99,6,it implies social interactions to establish a relationship between people,7,-99,6,-99,7,-99,7,-99,7,-99,7,-99,7,"Reveals information about other people and is defined as a person present during an event, who might have had a direct or indirect interaction with others.",7,-99,7,-99,7,-99,7,-99,"The instructions required rating the socialness of the words presented. The socialness referred to how likely it was that the words were associated with social concepts by involving social interactions, by influencing social interactions, and by representing those and the values of those in social encounters."
15/02/2021 20:02,15/02/2021 20:14,100,710,TRUE,15/02/2021 20:14,R_3enw1JaYVPYjcJG,EN,1,9,20.944,165.302,168.912,34,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,20,F,No,Advanced,54.24,113.452,114.636,11,Very well,No,,4,-99,4,-99,3,-99,-123,-99,3,-99,4,-99,4,-99,3,-99,5,-99,3,-99,2,-99,1,-99,1,-99,-123,-99,1,-99,4,-99,6,-99,3,-99,4,-99,4,-99,5,-99,5,-99,5,-99,4,-99,4,-99,4,-99,4,-99,4,-99,4,-99,4,-99,2,-99,2,-99,4,-99,5,-99,5,-99,5,-99,4,-99,5,-99,3,-99,4,-99,7,-99,5,-99,6,-99,6,-99,7,-99,5,-99,4,-99,5,-99,5,-99,6,-99,6,-99,6,-99,6,-99,6,-99,5,-99,6,-99,5,-99,2,-99,6,-99,6,-99,"how much is has a social nature, how much it relates to people ,socialness ,events etc"
15/02/2021 19:57,15/02/2021 20:14,100,1004,TRUE,15/02/2021 20:14,R_0UJPIx4sZBrH0el,EN,1,30,73.181,76.189,81.468,7,"The investigation and my part in the investigation have been fully explained to me, and I understand the explanation.,I confirm that I have read and understand the information sheet for the above study and have had the opportunity to ask questions.,I understand that I am free to withdraw my consent and finish participating at any time without penalty and it will not affect my place on the course (if I am taking it).,I understand that I am free to not answer specific items or questionnaires without explanation.,I understand that all data will be stored, analysed and published in a confidential manner with regards to my identity.,I  understand that I may request a summary of the results once this study has been completed.,I agree to participate as a volunteer in this study",Yes,20,F,No,Proficient,0,0,55.249,0,Extremely well,No,,3,-99,3,-99,1,-99,5,the common word for society to describe things ,2,I can't see any social connotations of the word,3,-99,7,-99,4,It's an action,6,-99,7,It's a common thing the society engages in,1,-99,1,-99,1,-99,2,-99,3,-99,4,It's personal and varies in individuals ,7,-99,1,-99,3,-99,6,-99,2,-99,5,-99,4,-99,4,-99,7,-99,7,High socialness as brings people together ,7,-99,6,-99,6,It's a big part of society and our lives,7,-99,6,-99,3,-99,5,-99,7,It's an ideology and common goal of people,7,-99,7,-99,4,-99,2,-99,7,It's a political ideology common in societies so high socialness ,6,-99,5,-99,6,-99,7,-99,6,Our generation bonds/socialize over jokes/memes so its very sociable ,7,-99,7,Very high in socialness as the society is controlled by governments ,6,-99,2,-99,3,The negative connotations and implies separatism ,5,-99,4,It's a characteristic ,7,-99,7,-99,7,-99,7,-99,5,It does not involve a large number of people or social interactions ,5,-99,7,-99,4,-99,6,-99,"Its involvement with societal rules, norms, laws, and social interactions. Additionally, how the word can describe collective actions of people. "
